,name,rate,categories
0,Boudro’s On the River Walk,4.1 star rating,"['New American', 'Seafood']"
1,Nonna Osteria,4.3 star rating,['Italian']
2,Brenner’s on the River Walk,4.1 star rating,"['Asian Fusion', 'Cocktail Bars', 'Breakfast & Brunch']"
3,Four Brothers,4.3 star rating,"['Steakhouses', 'Seafood', 'Breakfast & Brunch']"
4,Santa Diabla,4.4 star rating,"['Southern', 'Breakfast & Brunch', 'Cocktail Bars']"
5,Tokyo Cowboy,4.5 star rating,['Mexican']
6,Yard House,3.9 star rating,"['New American', 'Bars', 'Vegetarian']"
7,The Esquire Tavern,4 star rating,"['Lounges', 'Burgers', 'American']"
8,Ambler Texas Kitchen + Cocktails,4.2 star rating,"['Cocktail Bars', 'Breakfast & Brunch']"
9,Rosario’s ComidaMex & Bar,3.9 star rating,"['Mexican', 'Tex-Mex', 'Bars']"
10,Crockett Tavern,4.1 star rating,"['American', 'Bars']"
11,Best Quality Daughter,4.3 star rating,['Asian Fusion']
12,Little Rhein Prost Haus,4 star rating,"['German', 'Beer Gardens', 'Steakhouses']"
13,La Panadería,4.6 star rating,"['Breakfast & Brunch', 'Bakeries', 'Cafes']"
14,Biga On The Banks,4.3 star rating,"['New American', 'Venues & Event Spaces', 'Desserts']"
15,The Magpie,4.8 star rating,['New American']
16,Domingo,4.1 star rating,"['Cocktail Bars', 'Breakfast & Brunch', 'Mexican']"
17,Toro Kitchen + Bar,4.5 star rating,['Tapas Bars']
18,Fiume Pizzeria and Wine Bar,4.2 star rating,"['Pizza', 'Wine Bars', 'Italian']"
19,Thai Bird,4.5 star rating,"['Thai', 'Chicken Shop']"
20,Gus’s World Famous Fried Chicken - San Antonio,4.5 star rating,"['Chicken Shop', 'Comfort Food', 'Southern']"
21,Pinkerton’s Barbecue,4.2 star rating,['Barbeque']
22,Cuishe Cocina Mexicana,4.2 star rating,"['Mexican', 'Breakfast & Brunch', 'Bars']"
23,Bliss,4.6 star rating,['New American']
24,The Box Street Social,4.4 star rating,"['Breakfast & Brunch', 'Beer, Wine & Spirits', 'Cocktail Bars']"
25,Hola,4.6 star rating,"['Tapas Bars', 'Seafood', 'Beer Bar']"
26,Iron Cactus Mexican Restaurant and Margarita Bar,3.3 star rating,"['Mexican', 'Bars', 'American']"
27,Dough Pizzeria Napoletana,4.3 star rating,"['Pizza', 'Italian', 'Wine Bars']"
28,Smoke Texas Riverwalk,4.3 star rating,"['Barbeque', 'Venues & Event Spaces', 'Beer Bar']"
29,Maverick Whiskey,4.5 star rating,"['New American', 'Bars']"
30,Paesanos Riverwalk,4.2 star rating,"['Distilleries', 'Steakhouses', 'Breweries']"
31,Pharm Table,3.4 star rating,"['Italian', 'Wine Bars', 'Pizza']"
32,The Moon’s Daughters,4.3 star rating,"['Vegan', 'Cocktail Bars', 'Latin American']"
33,Tributary,4.1 star rating,"['Mediterranean', 'Venues & Event Spaces', 'Cocktail Bars']"
34,Kuriya,4.1 star rating,"['Coffee & Tea', 'Tex-Mex', 'Bars']"
35,Pete’s Tako House,4.4 star rating,['Ramen']
36,Poblanos Mexican Restaurant & Catering,4.3 star rating,"['Breakfast & Brunch', 'Tacos', 'Tex-Mex']"
37,Ming’s,4.3 star rating,['Mexican']
38,Texan Sizzle,4.4 star rating,"['Asian Fusion', 'Chinese']"
39,Maverick Texas Brasserie,4.7 star rating,"['Burgers', 'Tacos', 'Sandwiches']"
40,Luna Rosa Puerto Rican Grill Y Tapas,4.1 star rating,"['Comfort Food', 'New American', 'Brasseries']"
41,Bar Loretta,4 star rating,"['Puerto Rican', 'Tapas Bars']"
42,Fogo de Chão Brazilian Steakhouse,4.1 star rating,"['Brazilian', 'Steakhouses']"
43,Box St. All Day - Hemisfair,4.5 star rating,['New American']
44,Bombay Bicycle Club,4 star rating,"['Burgers', 'Cocktail Bars', 'Salad']"
45,Schilos Delicatessen,3.9 star rating,"['Delis', 'German', 'Breakfast & Brunch']"
46,Back Unturned Brewing,4.6 star rating,['Peruvian']
47,La Villita Cafe,4.6 star rating,"['Brewpubs', 'Pizza']"
48,Elsewhere Garden Bar & Kitchen,4.1 star rating,"['Cafes', 'Coffee & Tea', 'Breakfast & Brunch']"
49,Suck It Mixology,4.4 star rating,"['Wine Bars', 'Beer Gardens', 'Burgers']"
50,Franklin Jack,4.4 star rating,"['Asian Fusion', 'Cocktail Bars']"
51,Silo Prime,4 star rating,"['Food Trucks', 'Waffles', 'Burgers']"
52,Sauced on Losoya,4.6 star rating,"['Steakhouses', 'Wine Bars']"
53,Outlaw Kitchens,4.1 star rating,"['Food Trucks', 'Pizza']"
54,Battalion,4.7 star rating,"['New American', 'Cafes']"
55,Camp Outpost,4.1 star rating,['Italian']
56,Sweet Yams,4.5 star rating,"['New American', 'Bars', 'Breakfast & Brunch']"
57,Rebelle,4.7 star rating,"['Gluten-Free', 'Vegetarian', 'Soul Food']"
58,Q Kitchen | Bar,4 star rating,"['Seafood', 'New American', 'Steakhouses']"
59,Pastiche,3.8 star rating,"['Barbeque', 'Bars']"
60,Smoke BBQ Skybar,4.8 star rating,"['Cocktail Bars', 'Comfort Food', 'Lounges']"
61,Saltgrass Steak House,3.3 star rating,"['Barbeque', 'Venues & Event Spaces']"
62,Leche De Tigre,3.4 star rating,"['Steakhouses', 'Seafood', 'American']"
63,Corinne - San Antonio,4.3 star rating,"['American', 'Cocktail Bars']"
64,Guillermo’s,4.1 star rating,"['Italian', 'Pizza', 'Sandwiches']"
65,The Golden Goose,5 star rating,['Korean']
66,Bunz Handcrafted Burgers,4.4 star rating,"['Sushi Bars', 'Japanese']"
67,Sugar Factory - San Antonio,4.5 star rating,['Burgers']
68,Mengerita Tacos,3.4 star rating,"['Desserts', 'Candy Stores', 'American']"
69,Dorrego’s,4.1 star rating,['Tacos']
