,name,url,discount percentage,original price ($),dealt price ($),rate (/5),rating
0,Bluetooth Headphones Wireless Earbuds 80hrs Playtime Wireless Charging Case Digital Display Sports Ear buds with Earhook Premium Deep Bass IPX7 Waterproof Over-Ear Earphones for TV Phone Laptop Pink,https://www.amazon.com//Bluetooth-Headphones-Wireless-Waterproof-Earphones/dp/B0CHP1GDM8/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_ff8589cf_dt_pd_gw_unk&pd_rd_w=zgUq2&content-id=amzn1.sym.26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_p=26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_r=A2VCX3AR79CWKK8120K0&pd_rd_wg=wimjF&pd_rd_r=7849073b-e235-4e4b-b758-f4d0e36cf7a0,56,58.99,25.99,4.5,"11,445"
1,NutraBlast Boric Acid Vaginal Suppositories - 100% Pure Made in USA - Boric Life Intimate Health Support,https://www.amazon.com//NutraBlast-Boric-Acid-Vaginal-Suppositories/dp/B07212DK9F/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_f48714ad_dt_pd_gw_unk&pd_rd_w=zgUq2&content-id=amzn1.sym.26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_p=26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_r=A2VCX3AR79CWKK8120K0&pd_rd_wg=wimjF&pd_rd_r=7849073b-e235-4e4b-b758-f4d0e36cf7a0,67,0.33,9.96,4.6,"95,251"
2,2639M-2649M-2659M-2669M-2739M-2749M-2759M AquaCare High Pressure 8-mode Handheld Shower Head,https://www.amazon.com//AquaCare-Pressure-8-mode-Handheld-Shower/dp/B08WRTVJW3/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_730186ac_dt_pd_gw_unk&pd_rd_w=zgUq2&content-id=amzn1.sym.26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_p=26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_r=A2VCX3AR79CWKK8120K0&pd_rd_wg=wimjF&pd_rd_r=7849073b-e235-4e4b-b758-f4d0e36cf7a0,63,89.99,35.98,4.6,"42,880"
3,REALINN Metal Under Sink Organizer,https://www.amazon.com//REALINN-Organizer-Cabinet-Storage-Bathroom/dp/B0B6TK767D/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_2e64a2e2_dt_pd_gw_unk&pd_rd_w=zgUq2&content-id=amzn1.sym.26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_p=26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_r=A2VCX3AR79CWKK8120K0&pd_rd_wg=wimjF&pd_rd_r=7849073b-e235-4e4b-b758-f4d0e36cf7a0,42,49.99,28.99,4.4,"3,636"
4,"rabbitgoo Dog Harness, No-Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Dog Vest, Reflective No-Choke Pet Oxford Vest with Easy Control Handle",https://www.amazon.com//rabbitgoo-Harness-Adjustable-Reflective-No-Choke/dp/B09B9YZBTL/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_3569cfff_dt_pd_gw_unk&pd_rd_w=zgUq2&content-id=amzn1.sym.26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_p=26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_r=A2VCX3AR79CWKK8120K0&pd_rd_wg=wimjF&pd_rd_r=7849073b-e235-4e4b-b758-f4d0e36cf7a0,27,19.18,19.18,4.5,"166,806"
5,"EASELAND Mattress Pad Cover Cotton Top 8-21"" Deep Pocket Pillow Top Mattress Topper",https://www.amazon.com//EASELAND-Mattress-Mattress-Stretches-Alternative/dp/B073ZY6XH3/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_eec66c6a_dt_pd_gw_unk&pd_rd_w=zgUq2&content-id=amzn1.sym.26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_p=26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_r=A2VCX3AR79CWKK8120K0&pd_rd_wg=wimjF&pd_rd_r=7849073b-e235-4e4b-b758-f4d0e36cf7a0,37,49.9,32.71,4.5,"100,667"
6,"Bedsure Embossed Bed Pillowcase and Sheet Sets, 1 Count",https://www.amazon.com//BEDSURE-Queen-Sheet-Set-Soft-1800-Sheets-Queen-Size-Bed-Pieces-Hotel-Luxury-Grey-Easy-Care-Polyester-Microfiber-Cooling-Bed-Sheet-Set/dp/B07P5NBRL5/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_d9ab1fb5_dt_pd_gw_unk&pd_rd_w=zgUq2&content-id=amzn1.sym.26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_p=26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_r=A2VCX3AR79CWKK8120K0&pd_rd_wg=wimjF&pd_rd_r=7849073b-e235-4e4b-b758-f4d0e36cf7a0,42,19.99,13.59,4.5,"82,253"
7,Phomemo D30 Mini Bluetooth Label Maker,https://www.amazon.com//Phomemo-Portable-Bluetooth-HomeSmall-BusinessProductsOrganizing/dp/B0BBT7ZFBY/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_8b69eaa8_dt_pd_gw_unk&pd_rd_w=zgUq2&content-id=amzn1.sym.26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_p=26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_r=A2VCX3AR79CWKK8120K0&pd_rd_wg=wimjF&pd_rd_r=7849073b-e235-4e4b-b758-f4d0e36cf7a0,55,39.99,23.98,4.3,"16,392"
8,TOZO T10 Bluetooth 5.3 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,https://www.amazon.com//TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_931eac0a_dt_pd_gw_unk&pd_rd_w=zgUq2&content-id=amzn1.sym.26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_p=26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_r=A2VCX3AR79CWKK8120K0&pd_rd_wg=wimjF&pd_rd_r=7849073b-e235-4e4b-b758-f4d0e36cf7a0,53,39.99,18.99,4.3,"361,731"
9,"5''Display, Pan-Tilt-Zoom Video Baby Monitor with Camera and Audio, Night Vision, 2-Way Talk, Temperature, 8 Lullabies and 1000ft Range Baby Camera",https://www.amazon.com//HelloBaby-Upgrade-Pan-Tilt-Zoom-Lullabies-Temperature/dp/B0C6Y89H47/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_785ccaf3_dt_pd_gw_unk&pd_rd_w=zgUq2&content-id=amzn1.sym.26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_p=26a365d6-3002-449e-bfff-1848c98a3efd&pf_rd_r=A2VCX3AR79CWKK8120K0&pd_rd_wg=wimjF&pd_rd_r=7849073b-e235-4e4b-b758-f4d0e36cf7a0,33,40.0,119.99,4.4,"7,676"
